人権擁護NGO団体である「 ア 」が発行したレポートによると、殺人ロボット killer robots の自律性は下記の３段階に分類されると記している。①Human-in-the-Loop Weapons ／人間が「 イ 」兵器　②Human-on-the-Loop Weapons／人間が「 ウ 」兵器　③Human-out-of-the-Loop Weapons／人間が「 エ 」兵器,,ア：HRW、　イ：操作の一環に組み込まれている、　ウ：操作に関与できる、　エ：操作できない,
2018年2月に韓国の国立大学「　　」と韓国の防衛関連企業であるハンファシステムが、AIを活用した軍事研究を共同で推進すると発表。それに対し、オーストラリア ニューサウスウェールズ大学のToby Walsh教授が中心となり、世界約30か国のAI研究者・エンジニア約60名がAIの軍事活用は殺人ロボットの発展につながるとして批判。「　　」がこれらの研究を続ける限りは協力関係を一切取りやめる、と公言した。,,KAIST,
1956年7月から8月にかけて開催された「　　」会議は、人工知能という学術研究分野を確立した会議の通称である。この会議の提案書において、人類史上初めて人工知能（Artificial Intelligence）という用語が使われたとされる。,,ダートマス会議,提案書ではさらにコンピュータ、自然言語処理、ニューラルネットワーク、計算理論、抽象化と創造力について論じている。これらはいずれも今日でも研究が続いている分野である。
1956年開催のダートマス会議の主催者は、「AIの名付け親」「人工知能の父」と言われ、他にもプログラミング言語LISPや極小限定(circumscription)などを発明した業績があり、スタンフォード大学の人工知能研究所を設立し、1971年にチューリング賞を授与した。主催者の名前は？,,ジョン・マッカーシー,
人工知能は1950年代から現在にかけてこれに対する期待感からブームが起こり応用範囲の限界によって終わりを迎えるという流れを繰り返してきたが、推論と探求に関して始まり、現実問題に比べ単純なトイプロブレムしか解けないという欠点によって終わりを迎えたブームは…「　　」ブーム,,第一次AIブーム,
1980年代、AIプログラムの一形態である「エキスパートシステム」が世界中の企業で採用されるようになった第二次AIブームでの「シンボルグラウディング問題」とは何？また、誰によって議論されたもの？,,「記号（シンボル）とその対象がいかにして結びつくか」という問題。認知科学者の「スティーブン・ハルナッド」により定義された,例：「りんご」を一度も見たことがない人は、「りんご」という記号（文字列）を与えられただけでは「りんご」が一体何なのかを理解できない。さらにコンピュータにおいては「青りんご」という記号を与えられただけでは、それは単なる記号の羅列に過ぎないため、それが「青いりんご」を指すとは理解できない。
知識と蓄積・管理することの大変さが明らかになり冬の時代へ突入していたAIは、2010年代に入りディープラーニング（深層学習）が登場したことにより再ブームが起こる。その要因は…2010年代に入り「　ア　」と呼ばれる大量のデータを用いることで、人工知能が自ら知識を獲得する「　イ　」が実用化された。特に深層学習は「　ウ　」を自ら学習することによって、「どのような行動を行うべきか」を判別できる。,,ア：ビッグデータ、　イ：機械学習、　ウ：特徴量,
ビックデータの時代において、組織や企業が競争力を維持するためにデータサイエンスの機能を効率的に開発し、実装していくことは非常に重要である。データサイエンスとは…統計学の様々な分析手法やプログラミングなどのコンピューターのスキルを用いて大量のデータを分析し、データに隠された「　ア　」を見つけ出すことである。ビジネスにおける「　イ　」ことができる。 データサイエンティストが導き出した結果を基にAI開発を行うことで、ビジネスにおける「　ウ　」ことができる。どちらも共通の要素・技術を多く含んでおり、とりわけ機械学習において共通部分が多い。,,ア：因果関係、　イ：収益の増加や費用削減等の業務の高度化に活かす、　ウ：問題解決や新たな価値創造の成果を生む,
人間が日常的に用いる自然な言語を計算機で扱うことを「自然言語処理」という。自然言語処理の一般的なフローは…①「 ア 」を用いて文章を単語などの最小単位に切り分ける。②データのクレンジングにより、不要な文字列を取り除く。③「 イ 」などを用いて「 ア 」を行ったデータをベクトルの形式に変換する。④TF-IDFなどを用いて、各単語の「 ウ 」,,ア：形態素解析、　イ：BoW、　ウ：重要度を評価する,
1998年にティム・バーナーズ・リー氏によって提唱された、情報リソースに意味を付与することで人を介さずにコンピュータが自律的に処理できるようにするための技術は？,,セマンティックウェブ,
「フレーム問題」の解決に、適用できる可能性が低い技術・事象は次のうちのどれ？「マルチモーダル学習」「3Dモデル生成」「ロボティクス」「推論／探索」,,推論／探索,
意味ネットワークの関係を正しく説明すると…「　　」は継承を表し、「　　」は属性を表す。,,シンボルグラウンディング問題,
